tri_facility.TRI_FACILITY_ID,tri_facility.FACILITY_NAME,tri_facility.STREET_ADDRESS,tri_facility.CITY_NAME,tri_facility.COUNTY_NAME,tri_facility.STATE_ABBR,tri_facility.ZIP_CODE,tri_facility.PREF_LATITUDE,tri_facility.PREF_LONGITUDE
17801WLHLD222PA,WILHOLD INC,222 PACKER ST,SUNBURY,NORTHUMBERLAND,PA,178010748,40.868889,76.795
80110WLKRS1201W,PARKER HANNIFIN CORP WILKERSON,1201 W MANSFIELD AVE,ENGLEWOOD,ARAPAHOE,CO,801103453,39.646389,105.001389
30904LTRNT2730W,ALTERNATE ENERGY RESOURCES INC,2730 WALDEN DR,AUGUSTA,RICHMOND,GA,309045520,33.454167,82.0375
54106TGMPR307NC,SAPUTO CHEESE USA INC,307 N CLARK ST,BLACK CREEK,OUTAGAMIE,WI,54106,44.480278,88.455556
44136CHMCN21600,UNIVAR USA INC - STRONGSVILLE BRANCH,21600 DRAKE RD,STRONGSVILLE,CUYAHOGA,OH,44136,,
75212CHMCN2500V,CHEMCENTRAL DALLAS,2500 VINSON ST,DALLAS,DALLAS,TX,75212,,
48174CHMCN13395,UNIVAR USA INC ROMULUS BRANCH,13395 HURON RIVER DR,ROMULUS,WAYNE,MI,48174,,
15033THRMR85WAS,THERM-O-ROCK EAST INC,85 WASHINGTON AVE,DONORA,WASHINGTON,PA,15033,,
97846JSPHB83365,JOSEPH BRONZE INC,83365 JOSEPH HWY,JOSEPH,WALLOWA,OR,97846,,
08854WHTST40TUR,WHITESTONE PRODS,40 TURNER PL,PISCATAWAY,MIDDLESEX,NJ,8854,40.55,74.45
46818MSTCH6710I,ACCUGEAR,6710 INNOVATION BLVD,FORT WAYNE,ALLEN,IN,46818,,
44092HNDRS28910,THERMAL TREATMENT CENTER INC,28910 LAKELAND BLVD,WICKLIFFE,LAKE,OH,44092,41.607778,81.487778
73090KLHMBRT1BO,HENDERSON BRICK,RTE 1 BOX 257,UNION CITY,CANADIAN,OK,73090,35.416667,97.958333
75652HNDRS1309K,MERIDIAN BRICK - HENDERSON PLANT,1309 KILGORE DR,HENDERSON,RUSK,TX,75652,32.180833,94.803333
89003GLMSD5MILE,GLAMIS DAISY MINING CO,5 MILES SE OF BEATTY,BEATTY,NYE,NV,89003,,
15748MHMRC1750P,HOMER CITY GENERATION LP,1750 POWER PLANT RD,HOMER CITY,INDIANA,PA,15748,,
01432PHRMC25PAT,JOHNSON MATTHEY PHARMA SERVICES,25 PATTON RD,DEVENS,WORCESTER,MA,1434,,
42420HNDRSROUTE,HENDERSON COUNTY RIVERPORT AUTHORITY,RTE 2 HWY 136,HENDERSON,HENDERSON,KY,42420,37.809444,87.488333
31794HNDRXGOLDE,TRIEST AG GROUP INC,900 GOLDEN RD,TIFTON,TIFT,GA,31794,31.433333,83.333333
60501VNWTR8500W,UNIVAR USA INC,8500 W 68 TH ST,BEDFORD PARK,COOK,IL,60501,,
35459CHMCLHWY17,CHEMICAL WASTE MANAGEMENT,36964 ALABAMA HWY 17,EMELLE,SUMTER,AL,35459,,
61364STRCK1807N,U.S. TRUCK BODY,1807 N BLOOMINGTON ST,STREATOR,LA SALLE,IL,61364,,
85281MCRCH1200S,MICROCHIP TECHNOLOGY INC,1200 S 52ND ST,TEMPE,MARICOPA,AZ,85281,,
50613WYNNG701PE,WAYNE ENGINEERING,701 PERFORMANCE DR,CEDAR FALLS,BLACK HAWK,IA,50613,,
98204JHNFL9028E,FLUKE CORP - EVERGREEN WAY,9028 EVERGREEN WAY,EVERETT,SNOHOMISH,WA,98204,47.9161,122.2326
97228JHNHH18600,JOHN H HARLAND CO PLANT #38,18600 SW TETON RD,TUALATIN,WASHINGTON,OR,97062,45.366667,122.783333
29169JHNHH3430P,JOHN H HARLAND CO PLANT #11,3430 PLATT SPRINGS RD,WEST COLUMBIA,LEXINGTON,SC,29169,33.958333,81.125
56362WTJTN23WAS,WET JET INTERNATIONAL LTD,23 WASHBURNE AVE,PAYNESVILLE,STEARNS,MN,563621647,45.383578,94.71309
46221LMNMF624SO,ALUMINUM FINISHING CORP,624 S BELMONT,INDIANAPOLIS,MARION,IN,462211133,39.758333,86.196667
92707LMNMF502EA,ALUMINUM PRECISION PRODUCTS ALTON ST FACILITY DIV,502 E ALTON ST,SANTA ANA,ORANGE,CA,92707,33.704444,117.887222
74115LMNMH6016E,ALUMINUM HARDCOAT CO,6016 E TECUMSEH,TULSA,TULSA,OK,74115,36.180556,95.908333
31024HRTNH101IN,HORTON HOMES INC,101 INDUSTRIAL BLVD,EATONTON,PUTNAM,GA,31024,,
38019LSNDS2000H,UNILEVER MANUFACTURING (US) INC,2000 HWY 51 N,COVINGTON,TIPTON,TN,38019,,
19372LNPNG251SB,SABIC INNOVATIVE PLASTICS - LNP,251 S BAILEY RD,THORNDALE,CHESTER,PA,19372,,
